Alex 	Epistemology 	B- 
Alex 	Topology 	B- 
Alex 	Demonology 	A- 
Alex 	Ecology 	B 
Alex 	Immunology 	A- 
Alex 	Methodology 	A+ 
Alex 	Nephrology 	B+ 
Alex 	Terminology 	A 
Andy 	Phrenology 	A- 
Andy 	Apology 	A 
Andy 	Philology 	A- 
Andy 	Demonology 	A+ 
Andy 	Eulogy 	A+ 
Andy 	Pathology 	A+ 
Andy 	Technology 	A+ 
Ariel 	Epistemology 	B 
Ariel 	Topology 	B+ 
Ariel 	Etymology 	A+ 
Ariel 	Eulogy 	A+ 
Ariel 	Genealogy 	A- 
Ariel 	Morphology 	A+ 
Ariel 	Pathology 	A- 
Ariel 	Technology 	A+ 
Billy 	Etymology 	A+ 
Billy 	Psychology 	A+ 
Billy 	Apology 	A+ 
Billy 	Cosmology 	A+ 
Billy 	Philology 	B 
Billy 	Ideology 	A+ 
Billy 	Immunology 	A+ 
Billy 	Methodology 	A+ 
Bobby 	Topology 	A+ 
Bobby 	Philology 	B+ 
Bobby 	Eulogy 	A+ 
Bobby 	Genealogy 	A 
Bobby 	Pathology 	A+ 
Bobby 	Urology 	A+ 
Brett 	Topology 	A+ 
Brett 	Pharmacology 	A- 
Brett 	Demonology 	A+ 
Brett 	Ecology 	A+ 
Brett 	Ideology 	A+ 
Brett 	Ontology 	A 
Brett 	Technology 	A+ 
Brook 	Topology 	A 
Brook 	Phrenology 	B- 
Brook 	Cosmology 	A 
Brook 	Philology 	C+ 
Brook 	Theology 	B 
Brook 	Demonology 	A- 
Brook 	Technology 	A- 
Brook 	Terminology 	A+ 
Cameron 	Etymology 	A 
Cameron 	Demonology 	A 
Cameron 	Eulogy 	A 
Cameron 	Ecology 	B+ 
Cameron 	Ontology 	B 
Cameron 	Pathology 	A 
Cameron 	Tautology 	B+ 
Cameron 	Technology 	A- 
Cary 	Psychology 	A+ 
Cary 	Philology 	A 
Cary 	Eulogy 	A+ 
Cary 	Methodology 	A+ 
Cary 	Morphology 	A+ 
Cary 	Tautology 	A+ 
Cary 	Urology 	A+ 
Casey 	Statistics 	A- 
Casey 	Scientology 	A+ 
Casey 	Eulogy 	A+ 
Casey 	Geology 	B+ 
Casey 	Immunology 	A+ 
Casey 	Methodology 	A+ 
Casey 	Technology 	A+ 
Casey 	Terminology 	A+ 
Chris 	Topology 	A+ 
Chris 	Phrenology 	A 
Chris 	Pharmacology 	A 
